configuration,pillar,pillar_median_gap,pillar_mean_gap,n_metrics
D_MZIP_1,Probabilistic,0.36366648260629514,1.2754324180690202,5
D_MT_1,Probabilistic,0.6443696854619004,2.872240813087486,5
D_MTC_1,Probabilistic,1.5341368777346656,2.0652811719218973,5
C_10,Scale,0.6229474247353126,0.6795067567676701,7
V0_C_0,Scale,0.4331206901004676,1.0659766541496933,7
V0_C_1,Scale,2.330776332933531,2.305923881419292,7
V0_I_0,Scale,0.9321005191249776,1.5296376520411334,7
V0_I_1,Scale,1.5264049955396974,1.681929463764143,7
V0_M_0,Scale,1.8385370205173954,1.6685295304963181,7
V0_M_1,Scale,0.8197740112994355,0.8842078340674863,7
V0_T_0,Scale,0.5624887006379294,1.0557654992413839,7
V0_T_1,Scale,0.42421669355523445,1.0887512940980493,7
V0_Z_0,Scale,0.2776255351940124,0.8907600413831975,7
V0_Z_1,Scale,0.2828205427917104,0.4620244286661519,7
D_IP_1,Scale,0.596204466332683,0.8815798914082043,7
D_MZP_1,Scale,0.735108727179847,2.082874397379002,7
D_MTP_0,Scale,0.37470500830347153,0.7779822236665683,7
D_MTP_1,Scale,0.7414553330284493,0.7666591404750316,7
D_MTCP_1,Scale,0.298691644365151,0.40190301634211545,7
D_MZIP_1,Scale,1.0890056322540709,1.9412986317850138,7
D_MT_1,Scale,1.1065994777615975,1.0859681333702744,4
D_MTC_1,Scale,0.6542406729020269,1.0322107501218591,4
C_10,Extremes,0.5245063476682934,0.5936185983071066,6
V0_C_0,Extremes,0.5144393867605594,0.8075096030586871,6
V0_C_1,Extremes,0.40319023452796054,0.9113114105685282,6
V0_I_0,Extremes,0.4176821269948024,0.4040395753589003,6
V0_I_1,Extremes,0.4818662281246601,0.7132328897222608,6
V0_M_0,Extremes,0.5210703769168334,0.6159842983263019,6
V0_M_1,Extremes,0.6789204436547494,50.014972217217455,6
V0_T_0,Extremes,0.7397973186304438,0.8613154255461223,6
V0_T_1,Extremes,0.490494688746255,1.048356700146722,6
V0_Z_0,Extremes,0.48774971057549865,360.27586875307634,6
V0_Z_1,Extremes,0.18070183072586546,0.48426895231685685,6
D_IP_1,Extremes,0.5230059795094386,0.6371668300707595,6
D_MZP_1,Extremes,0.875788380934909,0.8840154649486478,6
D_MTP_0,Extremes,0.8035241226908546,1.0468711671941604,6
D_MTP_1,Extremes,0.21913663319569127,0.48301331734421343,6
D_MTCP_1,Extremes,0.339001652621912,0.3970964697113228,6
D_MZIP_1,Extremes,0.4625802280654565,1.347160521100818,6
D_MT_1,Extremes,1.2697639594141725,595.6401482237887,6
D_MTC_1,Extremes,1.3586138378203767,176.71851565853456,6
C_10,Features,0.8480326352144705,0.7859186321929417,4
V0_C_0,Features,0.4403148587326734,1.0492351251299776,4
V0_C_1,Features,0.11717168196407456,0.14941000697543777,4
V0_I_0,Features,0.3724515404785566,0.5233636910519536,4
V0_I_1,Features,0.49885519736589456,0.76808614607492,4
V0_M_0,Features,0.5600946917809251,0.9976477217670913,4
V0_M_1,Features,0.7951349195690289,0.9429802824815195,4
V0_T_0,Features,0.7817430154034168,0.677243173352071,4
V0_T_1,Features,0.591171546852435,0.7716415520107641,4
V0_Z_0,Features,1.0790827517871566,1.0863596185598734,4
V0_Z_1,Features,0.30830822915255685,0.39217629512081764,4
D_IP_1,Features,0.23119467621847375,0.27824937069080435,4
D_MZP_1,Features,0.7891756011641025,1.068656284079659,4
D_MTP_0,Features,0.5158388805366212,0.48777723827539277,4
D_MTP_1,Features,0.1286503454482486,0.3777681741397151,4
D_MTCP_1,Features,0.6164527976035368,0.6269983563152842,4
D_MZIP_1,Features,0.6410383259976777,0.8308340320076383,4
D_MT_1,Features,0.732439744817408,1.5880485390595003,4
D_MTC_1,Features,0.8720288095121188,1.4202784926415948,4
C_10,Climatological,0.2906744239647904,0.2906744239647904,2
V0_C_0,Climatological,0.49394375048417094,0.49394375048417094,2
V0_C_1,Climatological,0.06914721753254766,0.06914721753254766,2
V0_I_0,Climatological,0.4554780394451259,0.4554780394451259,2
V0_I_1,Climatological,0.5787626892236437,0.5787626892236437,2
V0_M_0,Climatological,0.7670831419376718,0.7670831419376718,2
V0_M_1,Climatological,0.8471488023956382,0.8471488023956382,2
V0_T_0,Climatological,0.7829234282916021,0.7829234282916021,2
V0_T_1,Climatological,0.873517739958067,0.873517739958067,2
V0_Z_0,Climatological,0.25136637573974785,0.25136637573974785,2
V0_Z_1,Climatological,0.20365459588145535,0.20365459588145535,2
D_IP_1,Climatological,0.1443952233873396,0.1443952233873396,2
D_MZP_1,Climatological,0.6794476071794233,0.6794476071794233,2
D_MTP_0,Climatological,0.6697849601221773,0.6697849601221773,2
D_MTP_1,Climatological,0.18535212125518294,0.18535212125518294,2
D_MTCP_1,Climatological,0.21709685729079767,0.21709685729079767,2
D_MZIP_1,Climatological,0.06842766427193056,0.06842766427193056,2
D_MT_1,Climatological,0.34583164286336765,0.34583164286336765,2
D_MTC_1,Climatological,0.8568753323738189,0.8568753323738189,2
C_10,Temporal,0.352984943180226,0.805688763088822,5
V0_C_0,Temporal,1.0108879839836502,1.497836696441027,5
V0_C_1,Temporal,0.43901674642976446,1.1410021491087763,5
V0_I_0,Temporal,0.7098124595211609,0.5366542274056568,5
V0_I_1,Temporal,0.3533676368466349,0.7306041124253342,5
V0_M_0,Temporal,0.5181356443715557,0.7437774341459351,5
V0_M_1,Temporal,0.3427178449571717,0.5718302986574658,5
