configuration,metric,metric_label,metric_index,pillar,seed_1_value,seed_2_value,raw_seed_gap,v0_min,v0_max,v0_range,normalized_seed_gap
V0_M_1,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,641.7977294921875,743.231201171875,101.4334716796875,625.8766479492188,771.1617431640625,145.28509521484375,0.6981684633904832
V0_T_0,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,656.5264282226562,764.5823974609375,108.05596923828125,625.8766479492188,771.1617431640625,145.28509521484375,0.7437512366873625
V0_T_1,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,782.7293701171875,670.7808837890625,111.948486328125,625.8766479492188,771.1617431640625,145.28509521484375,0.7705435038782096
V0_Z_0,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,740.5557861328125,681.2635498046875,59.292236328125,625.8766479492188,771.1617431640625,145.28509521484375,0.4081095603127438
V0_Z_1,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,708.016357421875,732.45556640625,24.439208984375,625.8766479492188,771.1617431640625,145.28509521484375,0.16821552787803143
D_IP_1,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,699.3543701171875,720.78955078125,21.4351806640625,625.8766479492188,771.1617431640625,145.28509521484375,0.14753874533629704
D_MZP_1,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,622.28173828125,742.3631591796875,120.0814208984375,625.8766479492188,771.1617431640625,145.28509521484375,0.8265226430891914
D_MTP_0,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,647.5877685546875,726.2449340820312,78.65716552734375,625.8766479492188,771.1617431640625,145.28509521484375,0.5413987264903369
D_MTP_1,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,732.97802734375,714.0582275390625,18.9197998046875,625.8766479492188,771.1617431640625,145.28509521484375,0.13022533231443598
D_MTCP_1,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,705.4969482421875,667.4473876953125,38.049560546875,625.8766479492188,771.1617431640625,145.28509521484375,0.26189582964865266
D_MZIP_1,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,737.80419921875,749.27001953125,11.4658203125,625.8766479492188,771.1617431640625,145.28509521484375,0.07891945347555886
D_MT_1,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,422.00860595703125,327.7957763671875,94.21282958984375,625.8766479492188,771.1617431640625,145.28509521484375,0.6484686502116704
D_MTC_1,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,443.853515625,611.29541015625,167.44189453125,625.8766479492188,771.1617431640625,145.28509521484375,1.1525056598795724
C_10,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,123.41931915283203,111.69678497314453,11.7225341796875,83.54216003417969,113.93865203857422,30.39649200439453,0.3856541793701961
V0_C_0,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,93.0483627319336,108.42010498046875,15.371742248535156,83.54216003417969,113.93865203857422,30.39649200439453,0.5057077720124022
V0_C_1,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,101.92577362060547,103.57221984863281,1.6464462280273438,83.54216003417969,113.93865203857422,30.39649200439453,0.054165665820559525
V0_I_0,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,108.52046203613281,95.02062225341797,13.499839782714844,83.54216003417969,113.93865203857422,30.39649200439453,0.44412492667782594
V0_I_1,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,84.48809814453125,106.30303192138672,21.81493377685547,83.54216003417969,113.93865203857422,30.39649200439453,0.7176793221303829
V0_M_0,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,100.1398696899414,131.59461975097656,31.454750061035156,83.54216003417969,113.93865203857422,30.39649200439453,1.0348151377628585
V0_M_1,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,84.45860290527344,114.73743438720703,30.278831481933594,83.54216003417969,113.93865203857422,30.39649200439453,0.996129141400793
V0_T_0,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,99.39704132080078,124.3858642578125,24.98882293701172,83.54216003417969,113.93865203857422,30.39649200439453,0.8220956198958417
V0_T_1,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,117.2903823852539,87.60845184326172,29.681930541992188,83.54216003417969,113.93865203857422,30.39649200439453,0.9764919760379245
V0_Z_0,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,109.8171615600586,112.69337463378906,2.8762130737304688,83.54216003417969,113.93865203857422,30.39649200439453,0.09462319116675189
V0_Z_1,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,104.74549865722656,112.01310729980469,7.267608642578125,83.54216003417969,113.93865203857422,30.39649200439453,0.23909366388487924
D_IP_1,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,98.98711395263672,103.28067016601562,4.293556213378906,83.54216003417969,113.93865203857422,30.39649200439453,0.14125170143838214
D_MZP_1,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,111.5560073852539,95.37374877929688,16.18225860595703,83.54216003417969,113.93865203857422,30.39649200439453,0.5323725712696552
D_MTP_0,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,90.93913269042969,115.20073699951172,24.26160430908203,83.54216003417969,113.93865203857422,30.39649200439453,0.7981711937540175
D_MTP_1,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,98.32405090332031,105.6337661743164,7.309715270996094,83.54216003417969,113.93865203857422,30.39649200439453,0.2404789101959299
D_MTCP_1,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,94.68831634521484,99.92556762695312,5.237251281738281,83.54216003417969,113.93865203857422,30.39649200439453,0.17229788493294268
